,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
251,3rd,"(637, 271)","(776, 257)","(706, 264)","(725, 357)","(1433, 550)","[[-3.05381658]
 [ 0.18840521]
 [ 0.30503972]]","[[ 961.30332349]
 [  84.63423644]
 [1406.49478309]]"
252,3rd,"(629, 278)","(767, 265)","(698, 271)","(718, 363)","(1568, 500)","[[-3.10809605]
 [ 0.1866007 ]
 [ 0.15699645]]","[[ 968.65117252]
 [ 100.56011874]
 [1427.50702982]]"
253,3rd,"(634, 270)","(773, 255)","(703, 262)","(723, 361)","(2160, 548)","[[-3.07384314]
 [ 0.16254015]
 [-0.18463353]]","[[ 942.22425534]
 [  84.44370451]
 [1351.15645707]]"
254,3rd,"(638, 266)","(791, 235)","(714, 250)","(725, 355)","(1568, 633)","[[-3.0138245 ]
 [ 0.20700103]
 [ 0.27100811]]","[[ 927.97853945]
 [  74.00437063]
 [1355.55976416]]"
255,3rd,"(641, 267)","(782, 257)","(711, 262)","(727, 360)","(1615, 589)","[[-3.04649961]
 [ 0.15286688]
 [ 0.1951165 ]]","[[ 961.97815808]
 [  87.33333051]
 [1390.90316422]]"
256,3rd,"(628, 272)","(767, 261)","(697, 266)","(712, 363)","(1391, 539)","[[-3.06836881]
 [ 0.13668242]
 [ 0.2827989 ]]","[[ 948.20769454]
 [  96.40182823]
 [1426.64363777]]"
257,3rd,"(634, 269)","(771, 255)","(702, 262)","(717, 364)","(929, 385)","[[-0.1104379 ]
 [-1.99858731]
 [ 0.26200333]]","[[-1042.30662958]
 [  -94.36731613]
 [-1560.03584544]]"
258,3rd,"(637, 264)","(774, 254)","(705, 259)","(714, 358)","(1619, 532)","[[-3.09948747]
 [ 0.11380361]
 [ 0.34908757]]","[[ 853.98453602]
 [  78.00867389]
 [1277.24334246]]"
259,3rd,"(643, 265)","(782, 255)","(712, 260)","(727, 355)","(2032, 513)","[[-3.10913884]
 [ 0.07008043]
 [ 0.00556939]]","[[ 946.28902912]
 [  78.69362135]
 [1342.36859458]]"
260,3rd,"(643, 269)","(785, 259)","(714, 264)","(730, 360)","(849, 418)","[[-0.0284325 ]
 [-2.19241597]
 [ 0.39408647]]","[[-1115.74015596]
 [ -103.08634099]
 [-1647.60749349]]"
