,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
79,3rd,"(638, 261)","(786, 257)","(712, 259)","(733, 388)","(2514, 988)","[[-3.00798016]
 [ 0.08767139]
 [ 0.11053422]]","[[ 862.16456294]
 [ 111.57091119]
 [1213.86200821]]"
80,3rd,"(656, 265)","(800, 265)","(728, 265)","(745, 394)","(2534, 1019)","[[-3.0073455 ]
 [ 0.07095285]
 [ 0.13426738]]","[[ 883.13604356]
 [ 121.85291876]
 [1211.82690995]]"
81,3rd,"(654, 257)","(800, 255)","(727, 256)","(744, 388)","(2600, 1015)","[[-3.00468594]
 [ 0.10730213]
 [ 0.1467307 ]]","[[ 872.44797017]
 [ 105.56925905]
 [1199.74360318]]"
82,3rd,"(651, 257)","(806, 251)","(728, 254)","(750, 385)","(2765, 1022)","[[-3.0045232 ]
 [ 0.10093026]
 [ 0.09971238]]","[[ 884.40050035]
 [ 102.77371381]
 [1198.52762349]]"
83,3rd,"(658, 245)","(835, 237)","(746, 241)","(759, 371)","(2920, 944)","[[-3.01606577]
 [ 0.10574613]
 [ 0.10090265]]","[[ 896.40193137]
 [  78.38280126]
 [1190.22796576]]"
84,3rd,"(687, 230)","(872, 227)","(779, 228)","(791, 351)","(3367, 748)","[[-3.05475058]
 [ 0.10193654]
 [ 0.07518186]]","[[ 950.64057588]
 [  43.29876651]
 [1180.2463391 ]]"
85,3rd,"(681, 285)","(831, 286)","(756, 285)","(774, 417)","(2714, 1182)","[[-3.00482857]
 [ 0.05745609]
 [ 0.17290122]]","[[ 927.22789117]
 [ 162.73203092]
 [1197.04489027]]"
86,3rd,"(689, 284)","(839, 285)","(764, 284)","(782, 417)","(2831, 1091)","[[-3.03069685]
 [ 0.06146639]
 [ 0.12560519]]","[[ 955.16781099]
 [ 161.40537443]
 [1207.87826086]]"
87,3rd,"(695, 283)","(846, 283)","(770, 283)","(788, 416)","(3090, 1211)","[[-3.01338273]
 [ 0.057482  ]
 [ 0.1074857 ]]","[[ 950.34138968]
 [ 158.5948741 ]
 [1187.9723509 ]]"
88,3rd,"(702, 282)","(852, 280)","(777, 281)","(792, 417)","(3006, 1210)","[[-3.00706322]
 [ 0.07317517]
 [ 0.13390298]]","[[ 959.95914765]
 [ 159.35541691]
 [1190.44127618]]"
89,3rd,"(698, 281)","(858, 278)","(778, 279)","(793, 415)","(3092, 1265)","[[-2.99619677]
 [ 0.07461503]
 [ 0.1284964 ]]","[[ 957.08558827]
 [ 156.8888893 ]
 [1183.11173898]]"
90,3rd,"(705, 277)","(858, 275)","(781, 276)","(800, 413)","(3467, 1297)","[[-3.00532106]
 [ 0.0710959 ]
 [ 0.07900982]]","[[ 960.49423233]
 [ 149.31271077]
 [1170.15677181]]"
