,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
121,2nd,"(572, 275)","(695, 290)","(633, 282)","(654, 354)","(1361, 302)","[[-3.23820592]
 [-0.12230437]
 [-0.03482817]]","[[ 845.13570462]
 [  89.60199576]
 [1513.20782782]]"
122,2nd,"(597, 271)","(717, 288)","(657, 279)","(681, 352)","(1525, 299)","[[-3.23321657]
 [-0.17845967]
 [-0.1192747 ]]","[[ 905.3976231 ]
 [  84.15378043]
 [1499.58619787]]"
123,2nd,"(610, 268)","(729, 288)","(669, 278)","(695, 352)","(1577, 299)","[[-3.23157305]
 [-0.18529358]
 [-0.14679818]]","[[ 940.65369583]
 [  82.05186593]
 [1502.94282767]]"
124,2nd,"(615, 266)","(735, 286)","(675, 276)","(699, 351)","(1625, 334)","[[-3.20078713]
 [-0.18545261]
 [-0.1450903 ]]","[[ 941.33455676]
 [  79.95326742]
 [1486.46829778]]"
125,2nd,"(618, 265)","(738, 285)","(678, 275)","(701, 351)","(1628, 331)","[[-3.20318148]
 [-0.19251354]
 [-0.1403464 ]]","[[ 949.65694777]
 [  80.24494018]
 [1488.03753154]]"
126,2nd,"(619, 266)","(740, 286)","(679, 276)","(702, 352)","(1654, 334)","[[-3.20296726]
 [-0.18975049]
 [-0.13264776]]","[[ 945.27578907]
 [  81.62217118]
 [1474.54987779]]"
127,2nd,"(623, 263)","(745, 284)","(684, 273)","(706, 351)","(1694, 342)","[[-3.19328251]
 [-0.19836195]
 [-0.13177481]]","[[ 946.40967272]
 [  77.8782837 ]
 [1461.59355332]]"
128,2nd,"(625, 264)","(746, 284)","(685, 274)","(708, 352)","(1695, 349)","[[-3.19088337]
 [-0.19743714]
 [-0.11770941]]","[[ 946.90691828]
 [  79.93309706]
 [1458.2193667 ]]"
129,3rd,"(629, 264)","(751, 285)","(690, 274)","(711, 354)","(1700, 372)","[[-3.17650562]
 [-0.19482945]
 [-0.10567906]]","[[ 954.42055895]
 [  82.86612039]
 [1457.57230448]]"
130,3rd,"(632, 263)","(755, 285)","(693, 274)","(715, 353)","(1745, 359)","[[-3.18445843]
 [-0.20054542]
 [-0.12702352]]","[[ 959.32468632]
 [  80.38849632]
 [1450.0485545 ]]"
