,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
140,3rd,"(556, 239)","(693, 250)","(624, 244)","(620, 330)","(933, 368)","[[-3.09581086]
 [-0.11570825]
 [ 0.45186721]]","[[ 702.11011697]
 [  37.31385074]
 [1377.08987787]]"
141,4th,"(422, 244)","(539, 229)","(480, 236)","(469, 323)","(340, 352)","[[-0.16672311]
 [-3.40262028]
 [ 0.22135954]]","[[ -375.37411873]
 [  -20.5474898 ]
 [-1538.32014556]]"
142,4th,"(450, 239)","(587, 227)","(518, 233)","(524, 311)","(426, 329)","[[-3.07802875]
 [ 0.12685191]
 [ 0.62389737]]","[[ 4.73958391e+02]
 [-1.37438372e+00]
 [ 1.38917000e+03]]"
143,4th,"(481, 217)","(589, 216)","(535, 216)","(522, 302)","(285, 419)","[[-2.92684108]
 [ 0.10685151]
 [ 0.79215433]]","[[ 474.28358441]
 [ -24.20624399]
 [1428.3839056 ]]"
144,4th,"(484, 215)","(585, 210)","(534, 212)","(515, 293)","(165, 418)","[[-2.83906589]
 [ 0.15439394]
 [ 1.00142427]]","[[ 456.88571445]
 [ -38.11500925]
 [1452.69171057]]"
145,3rd,"(510, 212)","(612, 214)","(561, 213)","(556, 296)","(881, 316)","[[-3.0833162 ]
 [ 0.05595138]
 [ 0.27999775]]","[[ 576.5233411 ]
 [ -45.41728695]
 [1418.9303094 ]]"
146,4th,"(416, 209)","(529, 200)","(472, 204)","(471, 301)","(373, 340)","[[-0.13179036]
 [-3.28563035]
 [ 0.28586954]]","[[ -407.74192844]
 [   61.69721172]
 [-1642.42581773]]"
147,3rd,"(625, 45)","(779, 55)","(702, 50)","(714, 138)","(2909, -478)","[[-3.04020928]
 [-0.03534377]
 [ 0.04394269]]","[[ 813.60501867]
 [-338.89592095]
 [1183.09283479]]"
148,2nd,"(617, 137)","(756, 139)","(686, 138)","(704, 210)","(1762, 64)","[[-3.07545752]
 [-0.01297119]
 [ 0.00611166]]","[[ 909.04830174]
 [-220.85426355]
 [1387.77661158]]"
149,2nd,"(614, 156)","(743, 159)","(678, 157)","(687, 227)","(1506, 85)","[[-3.10518652]
 [-0.01227412]
 [ 0.10494704]]","[[ 889.84266239]
 [-190.84916466]
 [1427.3611051 ]]"
150,4th,"(533, 188)","(663, 171)","(598, 179)","(588, 248)","(329, 288)","[[-2.85094548]
 [ 0.20436958]
 [ 1.12214313]]","[[ 696.69045172]
 [-148.94316898]
 [1627.33490789]]"
151,1st,"(535, 185)","(661, 171)","(598, 178)","(590, 245)","(460, 214)","[[-3.00616669]
 [ 0.16128409]
 [ 0.8486428 ]]","[[ 687.6319007 ]
 [-151.59838866]
 [1556.71593919]]"
152,2nd,"(534, 191)","(664, 176)","(599, 183)","(594, 252)","(616, 198)","[[-3.06434668]
 [ 0.16655044]
 [ 0.64546521]]","[[ 683.35897198]
 [-133.25065258]
 [1493.8715801 ]]"
