,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
389,3rd,"(635, 271)","(793, 272)","(714, 271)","(734, 367)","(4677, 517)","[[ 3.08421767]
 [ 0.02062711]
 [-0.03396207]]","[[ 786.57618636]
 [  93.19564755]
 [1107.66264644]]"
390,3rd,"(628, 268)","(800, 270)","(714, 269)","(739, 361)","(3530, 448)","[[ 3.08844191]
 [ 0.00986063]
 [-0.05497255]]","[[ 819.30510707]
 [  85.79421109]
 [1150.25211981]]"
391,4th,"(560, 276)","(722, 271)","(641, 273)","(633, 368)","(308, 388)","[[ 2.90170161]
 [-0.0801363 ]
 [-1.00687578]]","[[ 617.30639788]
 [ 103.4944775 ]
 [1236.48706895]]"
392,4th,"(554, 275)","(713, 270)","(633, 272)","(617, 367)","(182, 382)","[[ 2.85555427]
 [-0.06681089]
 [-1.14322638]]","[[ 582.0998889 ]
 [ 102.16788398]
 [1242.71029656]]"
393,4th,"(551, 279)","(713, 273)","(632, 276)","(619, 372)","(214, 412)","[[ 2.88494118]
 [-0.067171  ]
 [-1.11284745]]","[[ 591.42357629]
 [ 112.47359516]
 [1255.14091574]]"
394,4th,"(560, 280)","(717, 276)","(638, 278)","(622, 377)","(251, 436)","[[ 2.90445049]
 [-0.09075413]
 [-1.06062866]]","[[ 597.54214646]
 [ 120.74984059]
 [1247.68507279]]"
395,2nd,"(545, 261)","(669, 254)","(607, 257)","(615, 320)","(808, 309)","[[-3.14599496]
 [ 0.05748281]
 [ 0.42216892]]","[[ 833.34180162]
 [  24.53079535]
 [1681.09511403]]"
396,2nd,"(515, 197)","(644, 183)","(579, 190)","(592, 247)","(745, 211)","[[-3.06985475]
 [ 0.11324958]
 [ 0.39816792]]","[[ 807.48325834]
 [-182.5422897 ]
 [1766.17727283]]"
397,2nd,"(546, 200)","(688, 202)","(617, 201)","(629, 264)","(1158, 207)","[[-3.11348164]
 [ 0.03340132]
 [ 0.00831445]]","[[ 856.90599776]
 [-133.60595886]
 [1628.82167924]]"
398,3rd,"(523, 275)","(651, 268)","(587, 271)","(595, 335)","(894, 375)","[[-3.13145211]
 [ 0.06128687]
 [ 0.18984256]]","[[ 808.96093386]
 [  68.64462353]
 [1732.156531  ]]"
399,3rd,"(511, 283)","(633, 278)","(572, 280)","(570, 354)","(652, 411)","[[-3.1062734 ]
 [ 0.10461082]
 [ 0.49730047]]","[[ 685.97034316]
 [ 104.67663828]
 [1637.45954743]]"
400,3rd,"(508, 218)","(635, 212)","(571, 215)","(578, 294)","(860, 357)","[[-3.03367718]
 [ 0.14229904]
 [ 0.26954471]]","[[ 690.26503607]
 [ -57.48442979]
 [1571.80833406]]"
401,4th,"(470, 224)","(595, 213)","(532, 218)","(536, 304)","(268, 503)","[[-2.7284717 ]
 [ 0.28514019]
 [ 0.98003154]]","[[ 542.53939319]
 [ -27.51739516]
 [1568.72464108]]"
402,4th,"(451, 196)","(561, 182)","(506, 189)","(505, 284)","(127, 547)","[[-2.49399308]
 [ 0.34437459]
 [ 1.19049476]]","[[ 432.8778342 ]
 [ -77.25186546]
 [1481.20954839]]"
403,4th,"(416, 214)","(544, 199)","(480, 206)","(470, 306)","(83, 648)","[[-2.49389464]
 [ 0.36935032]
 [ 1.08012312]]","[[ 340.31669762]
 [ -21.33673172]
 [1429.11015035]]"
404,4th,"(439, 190)","(580, 172)","(509, 181)","(517, 283)","(233, 633)","[[-2.64006953]
 [ 0.32966149]
 [ 0.83903403]]","[[ 432.77762132]
 [ -77.83860896]
 [1380.64546   ]]"
405,4th,"(480, 176)","(625, 162)","(552, 169)","(563, 267)","(508, 503)","[[-2.7836888 ]
 [ 0.27508676]
 [ 0.63136284]]","[[ 575.2113723 ]
 [-126.94483536]
 [1446.86969053]]"
406,4th,"(552, 224)","(671, 213)","(611, 218)","(617, 293)","(430, 422)","[[-2.68186243]
 [ 0.21604887]
 [ 1.08119274]]","[[ 881.79774395]
 [ -71.30791193]
 [1866.49539142]]"
407,4th,"(578, 238)","(682, 228)","(630, 233)","(630, 303)","(476, 412)","[[-2.70433549]
 [ 0.283333  ]
 [ 1.10357167]]","[[1023.19303024]
 [ -44.29817155]
 [2058.82857093]]"
408,4th,"(584, 243)","(677, 234)","(630, 238)","(627, 304)","(425, 381)","[[-2.66778042]
 [ 0.23911121]
 [ 1.31015124]]","[[1050.45692943]
 [ -39.73863306]
 [2159.14279102]]"
409,3rd,"(580, 286)","(672, 253)","(626, 269)","(644, 329)","(658, 395)","[[-2.94698037]
 [ 0.57071868]
 [ 0.72540456]]","[[1218.12804451]
 [  48.25772836]
 [2296.1638822 ]]"
410,3rd,"(585, 288)","(675, 258)","(630, 273)","(650, 343)","(1040, 391)","[[-3.05460932]
 [ 0.47846442]
 [-0.01056021]]","[[1110.51212684]
 [  73.64233719]
 [1964.47291031]]"
