,quadrant,left_pupil,right_pupil,gaze_center_x,gaze_center_y,nose_end_points,gaze_end_points
266,3rd,"(475, 264)","(580, 260)",527,262,"(524, 348)","(750, 496)"
267,3rd,"(474, 265)","(576, 261)",525,263,"(526, 351)","(864, 488)"
268,3rd,"(475, 267)","(579, 261)",527,264,"(527, 352)","(825, 507)"
269,3rd,"(474, 266)","(578, 261)",526,263,"(525, 352)","(873, 504)"
270,3rd,"(473, 266)","(574, 262)",523,264,"(524, 353)","(780, 502)"
271,4th,"(471, 270)","(574, 264)",522,267,"(520, 356)","(203, 502)"
272,4th,"(467, 270)","(570, 265)",518,267,"(515, 355)","(198, 483)"
273,4th,"(465, 276)","(566, 268)",515,272,"(514, 357)","(259, 492)"
274,4th,"(500, 254)","(591, 247)",545,250,"(552, 343)","(202, 511)"
275,3rd,"(497, 288)","(619, 259)",558,273,"(586, 336)","(1064, 407)"
276,4th,"(472, 307)","(553, 297)",512,302,"(519, 378)","(278, 486)"
277,4th,"(461, 323)","(543, 312)",502,317,"(511, 390)","(297, 508)"
278,3rd,"(469, 340)","(544, 330)",506,335,"(518, 406)","(605, 507)"
279,3rd,"(445, 430)","(529, 439)",487,434,"(494, 553)","(653, 607)"
